Designator,Footprint,Quantity,Value,LCSC Part #
"BOOT1, RESET1",SW_SPST_B3U-1000P,2,SW_Push,
"C1, C10, C13, C14, C2, C7, C8, C9",0603,8,.1uf,C14663
"C11, C12",0805,2,2.2uf,C49217
"C3, C4",0805,2,1uf,C28323
D1,LED_PLCC-2_3.4x3.0mm_KA,1,LED,
"D2, D3",D_SOD-323,2,1N5819WS,C191023
FB1,0603,1,~,C1002
"J1, J2, J5, J6",PinHeader_1x06_P2.54mm_Vertical__min,4,Conn_01x06_Pin,
J3,PinHeader_2x10_P1.27mm_Vertical,1,Conn_02x10_Odd_Even,
J4,USB_Micro-B_Amphenol_10118194_Horizontal,1,USB_B_Micro,
"R1, R2, R3",0603,3,10K,C25804
R9,0603,1,150,C22808
"TP1, TP10, TP11, TP12, TP13, TP14, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_THTPad_D1.0mm_Drill0.5mm_min,14,TestPoint,
U1,SOT-23-3,1,XC6206P332MR,C5446
U2,LQFP-64_10x10mm_P0.5mm,1,STM32H503RBTx,
U3,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,
U4,SOT-23-6,1,WE-TVS-82400102,
X1,Oscillator_SMD_ECS_2520MV-xxx-xx-4Pin_2.5x2.0mm,1,ECS-2520MV-080-CN,
