Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,67.9,-63.3,90.0,top
C1,113.4,-49.85,270.0,bottom
C10,93.175,-49.1,0.0,bottom
C11,89.925,-49.35,180.0,bottom
C12,89.6,-61.625,270.0,bottom
C13,108.0,-51.275,180.0,bottom
C14,84.65,-54.125,90.0,bottom
C2,102.175,-58.05,0.0,bottom
C3,73.4,-52.1,270.0,bottom
C4,79.4,-52.1,270.0,bottom
C7,95.625,-58.7,180.0,bottom
C8,91.425,-61.175,90.0,bottom
C9,97.525,-54.575,0.0,bottom
D1,69.0372,-48.26,0.0,top
D2,81.5,-52.0,90.0,bottom
D3,70.5575,-51.11,180.0,bottom
FB1,98.675,-58.025,180.0,bottom
J1,73.66,-63.5,270.0,bottom
J2,96.52,-63.5,270.0,bottom
J3,115.062,-64.6938,180.0,top
J4,69.342,-55.84,270.0,top
J5,73.66,-48.26,270.0,bottom
J6,96.52,-48.26,270.0,bottom
R1,70.175,-62.625,0.0,bottom
R2,70.175,-60.925,180.0,bottom
R3,110.55,-53.025,270.0,bottom
R9,73.775,-59.525,0.0,bottom
RESET1,114.9096,-48.4632,270.0,top
U1,76.4,-52.5,270.0,bottom
U2,91.44,-55.88,135.0,top
U3,107.645,-54.85,270.0,top
U4,74.7,-56.1,0.0,top
X1,101.42,-60.2,180.0,top
